/usr/local/lib/python3.12/dist-packages/torch/cuda/__init__.py:65: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
{"source": "/mnt/c/Users/PC/flashattn-cuda-main/docs/serving/prefill_layout_2026-09-21/attention_forward_guarded.cu", "sha256": "b5a8bb5620105af913bf5567a6f2c42e9582fd460f4a0516787eca46e29e3c41", "so": "/root/.cache/torch_extensions/py312_cu128/prefill_layout_b5a8bb562010/prefill_layout_b5a8bb562010.so", "so_sha256": "026addc84b3096cedaef41980d923f7ad78e676349bf0c6331c2b7338eeb045b", "flags": ["-O3", "--use_fast_math", "-gencode=arch=compute_89,code=sm_89"]}
{"source": "/mnt/c/Users/PC/flashattn-cuda-main/bench/results/raw_2026-09-20_v5/attention_forward_v7.cu", "sha256": "5f1d9815423d9fe133575609f7cc96e1c83bf5ff8f733f042d64c92a0cd1ed24", "so": "/root/.cache/torch_extensions/py312_cu128/prefill_layout_5f1d9815423d/prefill_layout_5f1d9815423d.so", "so_sha256": "ff4b65c7d402626ab7318251e1217aeca29b1ba019fd0e222d8ea12555fa3dd0", "flags": ["-O3", "--use_fast_math", "-gencode=arch=compute_89,code=sm_89"]}
{"source": "/mnt/c/Users/PC/flashattn-cuda-main/bench/results/raw_2026-09-20_v5/attention_forward_HEAD_32056b7.cu", "sha256": "215471067d4b750961314f220017a96c75cfc313ce7cfb4adbb560cf86afaa3c", "so": "/root/.cache/torch_extensions/py312_cu128/prefill_layout_215471067d4b/prefill_layout_215471067d4b.so", "so_sha256": "1d2257527c500a15bc921c5c3d7d9b2eb6e644e9fafcd966a045124eff63d198", "flags": ["-O3", "--use_fast_math", "-gencode=arch=compute_89,code=sm_89"]}
(1, 32, 8, 1000, 64, True) forward: {'candidate': 0.9921, 'head': 0.9897}
(1, 32, 8, 1000, 64, True) forward_only: {'candidate': 0.987, 'head': 0.9878}
(3, 14, 2, 2500, 64, True) forward: {'candidate': 0.9917, 'head': 0.9934}
(3, 14, 2, 2500, 64, True) forward_only: {'candidate': 0.9893, 'head': 0.9925}
(1, 8, 8, 2047, 64, True) forward: {'candidate': 0.9812, 'head': 0.9782}
(1, 8, 8, 2047, 64, True) forward_only: {'candidate': 0.9769, 'head': 0.9775}
(1, 28, 4, 3000, 128, True) forward: {'candidate': 0.9724, 'head': 0.9656}
(1, 28, 4, 3000, 128, True) forward_only: {'candidate': 0.9819, 'head': 0.9795}
(2, 16, 8, 1500, 128, True) forward: {'candidate': 0.974, 'head': 0.9726}
(2, 16, 8, 1500, 128, True) forward_only: {'candidate': 0.9839, 'head': 0.9814}
(1, 32, 8, 2048, 64, False) forward: {'candidate': 1.0002, 'head': 0.9995}
(1, 32, 8, 2048, 64, False) forward_only: {'candidate': 1.001, 'head': 0.9679}
(1, 32, 8, 1024, 64, True) forward: {'candidate': 0.9942, 'head': 1.0218}
(1, 32, 8, 1024, 64, True) forward_only: {'candidate': 0.9978, 'head': 1.0239}
(1, 8, 8, 4096, 64, True) forward: {'candidate': 1.0032, 'head': 1.0215}
(1, 8, 8, 4096, 64, True) forward_only: {'candidate': 0.9969, 'head': 1.0226}
(1, 8, 8, 4096, 64, False) forward: {'candidate': 0.9999, 'head': 0.9986}
(1, 8, 8, 4096, 64, False) forward_only: {'candidate': 0.9991, 'head': 0.9998}
(1, 28, 4, 3000, 128, False) forward: {'candidate': 1.0004, 'head': 1.0883}
(1, 28, 4, 3000, 128, False) forward_only: {'candidate': 0.9973, 'head': 1.089}
(1, 28, 4, 3008, 128, True) forward: {'candidate': 0.9979, 'head': 1.0647}
(1, 28, 4, 3008, 128, True) forward_only: {'candidate': 1.0011, 'head': 0.9995}
(2, 4, 4, 128, 64, False) forward: {'candidate': 1.0497, 'head': 1.4335}
(2, 4, 4, 128, 64, False) forward_only: {'candidate': 1.0028, 'head': 1.0311}
DONE
